method,method_display,n,mean,sd,q05,q25,median,q75,q95
CoDiPO,CoDiPO,1080,0.1779814374584781,0.1737939026390706,-0.0949955902037914,0.0593805909981209,0.165083870939593,0.2884639850769352,0.491304074990191
w/o X,w/o X,1080,0.1852030698883788,0.1668590444397258,-0.0820549451001525,0.0710551434199082,0.1793867025400124,0.2866243883936901,0.4750696875845503
w/o Y/Z,w/o YZ,1080,0.1638044127730477,0.1755832468314852,-0.1009889958979898,0.0371868870350762,0.1499716829702575,0.2816576627076279,0.4625312812957393
Cos-X,Cosine sim. as X,1080,0.1774780345710996,0.1653112273873026,-0.0683056019152794,0.067338557268834,0.1552861658259576,0.2802242669086987,0.4813868314536841
Cosine-only,Cosine-only,1080,0.1903117353750682,0.1682731659624575,-0.0658861076557157,0.0773751372354522,0.1759636793190147,0.2934469469272554,0.4965891941113687
Vanilla,Vanilla,1080,0.1915051915243637,0.1709193174440261,-0.0713455490459433,0.074704098890969,0.1752230036077252,0.295121896817034,0.4897713838680104
Hard filter,Hard Filter,1080,0.1359763514033991,0.1813935626327006,-0.1153480682847906,0.0133278006573081,0.1106714910625449,0.2350462936434266,0.4595602660633161


