run_num,method_display,method,macro_score_mean,macro_score_std,n_runs,macro_name,mean_percent,sd_percent
1,direct,direct,0.799884023719307,0.0118920118134233,25,external,79.9884023719307,1.18920118134233
1,imitation,imitation,0.8153098345986923,0.0194460639301643,25,external,81.53098345986923,1.94460639301643
1,rewrite,rewrite,0.7952653757066169,0.0167386949155953,25,external,79.52653757066169,1.67386949155953
1,xyz,xyz,0.8370261711142832,0.0102353840214144,25,external,83.70261711142832,1.02353840214144
2,direct,direct,0.8022170913877409,0.0116043557335964,25,external,80.22170913877409,1.16043557335964
2,imitation,imitation,0.8094664516844395,0.0145637796659186,25,external,80.94664516844395,1.45637796659186
2,rewrite,rewrite,0.8063074598458185,0.0113804377934639,25,external,80.63074598458185,1.13804377934639
2,xyz,xyz,0.8526724023368999,0.0073814640007716,25,external,85.26724023368999,0.7381464000771599
3,direct,direct,0.8041471178141373,0.0161680560821801,25,external,80.41471178141373,1.61680560821801
3,imitation,imitation,0.8034292050142987,0.0093087945510062,25,external,80.34292050142987,0.93087945510062
3,rewrite,rewrite,0.8040771226032507,0.011387560867367,25,external,80.40771226032507,1.1387560867367
3,xyz,xyz,0.8341384276311588,0.0093139324377402,25,external,83.41384276311588,0.93139324377402
4,direct,direct,0.7996776795721384,0.0185781884936763,25,external,79.96776795721384,1.85781884936763
4,imitation,imitation,0.8080768082925482,0.0118337903868984,25,external,80.80768082925482,1.1833790386898402
4,rewrite,rewrite,0.7983214589763502,0.0145092461902148,25,external,79.83214589763502,1.45092461902148
4,xyz,xyz,0.8402571833766335,0.008622179659076,25,external,84.02571833766335,0.8622179659075999
5,direct,direct,0.8029367974300858,0.0147628218070372,25,external,80.29367974300858,1.47628218070372
5,imitation,imitation,0.8130819189704924,0.0093718530314117,25,external,81.30819189704924,0.93718530314117
5,rewrite,rewrite,0.8007205210327437,0.0101786878275333,25,external,80.07205210327437,1.01786878275333
5,xyz,xyz,0.830968684659274,0.0097958623632985,25,external,83.0968684659274,0.97958623632985
6,direct,direct,0.8013452091173011,0.0160947412216794,25,external,80.1345209117301,1.60947412216794
6,imitation,imitation,0.812667425107708,0.014190863808979,25,external,81.2667425107708,1.4190863808979
6,rewrite,rewrite,0.8012154814647188,0.0196776122076343,25,external,80.12154814647188,1.9677612207634296
6,xyz,xyz,0.838925588299268,0.0099332566082139,25,external,83.8925588299268,0.99332566082139
7,direct,direct,0.801091715022281,0.0209869812954731,25,external,80.10917150222811,2.09869812954731
7,imitation,imitation,0.8098485142080025,0.0156727016051503,25,external,80.98485142080025,1.56727016051503
7,rewrite,rewrite,0.8026341759626646,0.0112346986006321,25,external,80.26341759626646,1.1234698600632098
7,xyz,xyz,0.8371533381067503,0.0104744472173872,25,external,83.71533381067503,1.04744472173872
8,direct,direct,0.7981378472919813,0.0214564760422295,25,external,79.81378472919813,2.14564760422295
8,imitation,imitation,0.8125770173788246,0.0116329431286896,25,external,81.25770173788246,1.16329431286896
8,rewrite,rewrite,0.8034794549201366,0.0112070129690691,25,external,80.34794549201366,1.12070129690691
8,xyz,xyz,0.8419820280397124,0.0098911810698506,25,external,84.19820280397124,0.98911810698506
9,direct,direct,0.8052452094665273,0.0187463478638932,25,external,80.52452094665273,1.87463478638932
9,imitation,imitation,0.8103345609173789,0.0144122326592019,25,external,81.03345609173789,1.44122326592019
9,rewrite,rewrite,0.8032909573032707,0.0185992421718376,25,external,80.32909573032707,1.85992421718376
9,xyz,xyz,0.8368192572837208,0.0126199005911196,25,external,83.68192572837208,1.26199005911196
10,direct,direct,0.8050808522145849,0.0199826308484069,25,external,80.50808522145849,1.9982630848406904
10,imitation,imitation,0.8166774789258764,0.0133325432746124,25,external,81.66774789258764,1.3332543274612398
10,rewrite,rewrite,0.8108317325777533,0.0149832287642469,25,external,81.08317325777533,1.49832287642469
10,xyz,xyz,0.8409795513524062,0.0142024737972179,25,external,84.09795513524062,1.42024737972179


