method_raw,method_display,method,ad_overcompletion_mean,ad_overcompletion_sd,hc_evidence_loss_mean,hc_evidence_loss_sd,overall_contamination_mean,overall_contamination_sd,ad_to_hc_contamination_mean,ad_to_hc_contamination_sd,hc_to_ad_contamination_mean,hc_to_ad_contamination_sd,proxy_x_pass_rate_mean,proxy_yz_pass_rate_mean,proxy_joint_pass_rate_mean,residual_similarity_mean,residual_similarity_sd,f1_mean,f1_sd
CoDiPO,CoDiPO,CoDiPO,1.6556401218271808,0.1728128297076263,1.2672600071940152,0.1730374151775288,0.3862962962962962,0.0138254725049917,0.6127777777777779,0.023086956156705,0.1598148148148148,0.0090390480458265,47.03703703703704,18.148148148148145,8.24074074074074,0.1767969817501953,0.1734426522049815,83.01356075339329,0.506004377617046
w/o X,w/o X,w/o X,1.794300512614204,0.1629430853913524,1.327534304478927,0.3414838152643843,0.3952777777777778,0.0063003799393348,0.6324074074074074,0.0113591149503567,0.1581481481481481,0.0076185194187867,44.16666666666667,17.77777777777778,7.962962962962962,0.1890061310992153,0.1661055921445487,79.41353352750025,0.4327777370472996
w/o Y/Z,w/o YZ,w/o Y/Z,1.9559257538749253,0.2241603947948456,1.3697672510310686,0.3007078069535068,0.4056481481481482,0.0137001058840641,0.6448148148148147,0.0262022313419615,0.1664814814814814,0.0062594236226501,50.46296296296297,14.629629629629628,5.925925925925926,0.1687117374644558,0.1735718366400594,80.12861267582097,0.8555769796244959
Cos-X,Cosine sim. as X,Cosine sim. as X,1.5025471041149518,0.1791820897109889,1.5313295378473095,0.1647919501333633,0.3924999999999999,0.0135664737956583,0.6264814814814815,0.0180210972232634,0.1585185185185185,0.0128866803131161,48.05555555555556,17.40740740740741,7.685185185185185,0.1735947748535531,0.1622873343312711,79.58940889911597,0.9125457625049463
Cosine-only,Cosine-only,Cosine-only,2.062129695015234,0.1474819017194815,1.104289190320783,0.2199206973293891,0.4174074074074074,0.0108010360601455,0.6670370370370371,0.012739475604715,0.1677777777777777,0.0143354147211141,44.62962962962963,16.11111111111111,6.111111111111111,0.1923030889965107,0.1673418050341792,79.3739617074635,1.531597998209703
Vanilla,Vanilla,Vanilla,1.9057526288425133,0.1634311577692734,1.328798426012181,0.1969441858553863,0.4037962962962963,0.0125828870550137,0.6427777777777778,0.0181136293030827,0.1648148148148148,0.0099939968263532,42.87037037037037,17.037037037037038,6.388888888888888,0.1928257299841064,0.1724373147881913,80.12754040503569,0.8103591746308614
Hard filter,Hard Filter,Hard filter,0.5913216763515498,0.1921799217018968,0.2638775399117733,0.0414531485783603,0.3975925925925926,0.0119494677923856,0.6172222222222221,0.0175389044334097,0.1779629629629629,0.0104633726566789,60.37037037037037,63.70370370370371,27.40740740740741,0.132347747974639,0.1793585608016759,80.19296029240381,1.081115257458752


