method,ad_overcompletion_score_mean_mean,hc_evidence_loss_score_mean_mean,overall_contamination_mean,ExternalCohort_F1_mean,ad_overcompletion_score_mean_sd,hc_evidence_loss_score_mean_sd,overall_contamination_sd,ExternalCohort_F1_sd,method_display
CoDiPO,1.6556401218271808,1.2672600071940152,38.629629629629626,83.01356075339329,0.1728128297076263,0.1730374151775288,1.3825472504991725,0.506004377617046,CoDiPO
EDA,0.6509742271376521,2.263602663035811,43.44444444444444,76.97887810919474,0.1069059566787143,0.1669829615484918,0.1485815419989021,1.4809602588298236,EDA
ICL Imitation,2.0933661605595133,1.2128713398628543,41.62037037037037,79.12630083387216,0.2898769907919291,0.1435922830118462,1.156017684183681,0.958269071359964,ICL Imitation
ICL Rewrite,2.635566853560563,0.5819705111185647,42.41666666666666,78.75027728645917,0.1965919448977632,0.1502419957900367,1.005493313672889,0.8696290337223899,ICL Rewrite
Hard filter,0.5913216763515498,0.2638775399117733,39.75925925925926,80.19296029240381,0.1921799217018968,0.0414531485783603,1.1949467792385664,1.081115257458752,Hard Filter


