method,method_display,n_candidates,mean,sd
CoDiPO,CoDiPO,1080,0.1779814374584781,0.1737939026390707
EDA,EDA,1080,0.6620448815503044,0.1394117373701569
ICL Imitation,ICL Imitation,1080,0.3694101632429226,0.2308402729123944
ICL Rewrite,ICL Rewrite,1080,0.2933990054953742,0.2172778918268684
Hard filter,Hard Filter,1080,0.1359763514033991,0.1813935626327004


