method,contamination_mean,contamination_sd,f1_mean,f1_sd,method_display
CoDiPO,38.629629629629626,1.3825472504991725,83.01356075339329,0.506004377617046,CoDiPO
EDA,43.44444444444444,0.1485815419989021,76.97887810919474,1.4809602588298236,EDA
ICL Direct,53.601851851851855,1.7400880376006294,78.02725493278888,0.7610353087494851,ICL Direct
ICL Imitation,41.62037037037037,1.156017684183681,79.12630083387216,0.958269071359964,ICL Imitation
ICL Rewrite,42.41666666666666,1.005493313672889,78.75027728645917,0.8696290337223899,ICL Rewrite
Hard filter,39.75925925925926,1.1949467792385664,80.19296029240381,1.081115257458752,Hard Filter


