method_raw,method_display,method,conditional_x_pass_within_yz_pass_mean,conditional_x_pass_within_yz_pass_sd,conditional_x_pass_within_yz_fail_mean,conditional_x_pass_within_yz_fail_sd,conditional_x_pass_diff_mean,conditional_x_pass_diff_sd,yz_x_phi_mean,yz_x_phi_sd,proxy_x_pass_rate_mean,proxy_yz_pass_rate_mean,proxy_joint_pass_rate_mean
CoDiPO,CoDiPO,CoDiPO,44.8936877076412,8.237323625622544,47.40235684859323,1.4667761903647552,-2.5086691409520405,8.423242072729686,-0.017951363879217,0.0638188959830205,47.03703703703704,18.148148148148145,8.240740740740739
w/o X,w/o X,w/o X,44.34141161300111,12.240360888718891,44.04747723371892,4.921174455706223,0.293934379282183,9.912940933995392,0.0029187120113345,0.0744418124674152,44.16666666666667,17.77777777777778,7.962962962962962
w/o Y/Z,w/o YZ,w/o YZ,39.54580745341615,8.29423416373285,52.18086024499828,3.847967436045248,-12.63505279158213,9.19318194641126,-0.0862248508004181,0.0611963538357202,50.46296296296297,14.62962962962963,5.925925925925926
Cos-X,Cosine sim. as X,Cosine sim. as X,42.9208839091192,7.968767943870919,48.91494885588999,2.089128440597036,-5.994064946770787,6.823965627274164,-0.0419728986312512,0.0458838036437617,48.05555555555556,17.40740740740741,7.685185185185185
Cosine-only,Cosine-only,Cosine-only,38.21135421135421,6.329925712404452,45.92323124951021,1.558861691893937,-7.711877038155999,7.5146427898106465,-0.0578574678123642,0.0536669435994801,44.62962962962963,16.111111111111107,6.111111111111112
Vanilla,Vanilla,Vanilla,37.51203422680503,9.736562340766254,43.97843122874563,1.5846969170798064,-6.466397001940599,10.765631890930136,-0.0492492246039624,0.0833581041990502,42.87037037037038,17.037037037037035,6.388888888888889
Hard filter,Hard Filter,Hard Filter,43.010040171621874,2.4074004968543243,90.76928295684743,0.9796612788763563,-47.75924278522558,2.308422502297504,-0.469427241541809,0.0272669159533267,60.37037037037037,63.703703703703695,27.40740740740741


