method_raw,method_display,method,n_seeds,ExternalCohort_F1_mean,ExternalCohort_F1_sd,proxy_x_pass_rate_mean,proxy_x_pass_rate_sd,proxy_yz_pass_rate_mean,proxy_yz_pass_rate_sd,proxy_joint_pass_rate_mean,proxy_joint_pass_rate_sd,conditional_x_pass_within_yz_pass_mean,conditional_x_pass_within_yz_pass_sd,conditional_x_pass_within_yz_fail_mean,conditional_x_pass_within_yz_fail_sd,conditional_x_pass_diff_mean,conditional_x_pass_diff_sd,yz_x_phi_mean,yz_x_phi_sd,ad_overcompletion_score_mean_mean,ad_overcompletion_score_mean_sd,hc_evidence_loss_score_mean_mean,hc_evidence_loss_score_mean_sd,ad_to_hc_contamination_mean,ad_to_hc_contamination_sd,hc_to_ad_contamination_mean,hc_to_ad_contamination_sd,overall_contamination_mean,overall_contamination_sd,residual_similarity_mean_mean,residual_similarity_mean_sd
CoDiPO,CoDiPO,CoDiPO,5,83.01356075339329,0.5060043776170486,47.03703703703704,1.7810540797843877,18.148148148148145,1.863389981249826,8.240740740740739,2.1566323516392814,44.8936877076412,8.237323625622544,47.40235684859323,1.4667761903647552,-2.5086691409520405,8.423242072729686,-0.017951363879217,0.0638188959830205,1.6556401218271808,0.1728128297076264,1.2672600071940152,0.1730374151775288,0.6127777777777779,0.023086956156705,0.1598148148148148,0.0090390480458265,0.3862962962962962,0.0138254725049917,0.1779814374584781,0.005849309984677
w/o X,w/o X,w/o X,5,79.41353352750025,0.4327777370472982,44.16666666666667,5.750812550687188,17.77777777777778,2.750639032872768,7.962962962962962,2.9170340744487717,44.34141161300111,12.240360888718891,44.04747723371892,4.921174455706223,0.293934379282183,9.912940933995392,0.0029187120113345,0.0744418124674152,1.794300512614204,0.1629430853913525,1.327534304478927,0.3414838152643843,0.6324074074074074,0.0113591149503567,0.1581481481481481,0.0076185194187867,0.3952777777777778,0.0063003799393348,0.1852030698883788,0.0121049375629963
w/o Y/Z,w/o YZ,w/o YZ,5,80.12861267582097,0.8555769796244937,50.46296296296297,3.386282138501807,14.62962962962963,3.011039359538722,5.925925925925926,2.2538261934514967,39.54580745341615,8.29423416373285,52.18086024499828,3.847967436045248,-12.63505279158213,9.19318194641126,-0.0862248508004181,0.0611963538357202,1.9559257538749255,0.2241603947948456,1.3697672510310688,0.3007078069535068,0.6448148148148147,0.0262022313419615,0.1664814814814814,0.0062594236226501,0.4056481481481481,0.0137001058840641,0.1638044127730476,0.0102030719636053
Cos-X,Cosine sim. as X,Cosine sim. as X,5,79.58940889911597,0.9125457625049476,48.05555555555556,2.5017140900196844,17.40740740740741,4.04397551887453,7.685185185185185,2.8651386012529265,42.9208839091192,7.968767943870919,48.91494885588999,2.089128440597036,-5.994064946770787,6.823965627274164,-0.0419728986312512,0.0458838036437617,1.5025471041149518,0.1791820897109889,1.53132953784731,0.1647919501333632,0.6264814814814815,0.0180210972232634,0.1585185185185185,0.0128866803131161,0.3924999999999999,0.0135664737956583,0.1774780345710996,0.0028044772671185
Cosine-only,Cosine-only,Cosine-only,5,79.3739617074635,1.5315979982097023,44.62962962962963,0.9600204330244324,16.111111111111107,3.214176844020331,6.111111111111112,1.3655445559030204,38.21135421135421,6.329925712404452,45.92323124951021,1.558861691893937,-7.711877038155999,7.5146427898106465,-0.0578574678123642,0.0536669435994801,2.062129695015233,0.1474819017194814,1.1042891903207828,0.2199206973293891,0.667037037037037,0.0127394756047149,0.1677777777777778,0.0143354147211141,0.4174074074074074,0.0108010360601456,0.1903117353750682,0.0047960406251139
Vanilla,Vanilla,Vanilla,5,80.12754040503569,0.8103591746308642,42.87037037037038,1.373370090202897,17.037037037037035,1.834408588533237,6.388888888888889,1.804961915705364,37.51203422680503,9.736562340766254,43.97843122874563,1.5846969170798064,-6.466397001940599,10.765631890930136,-0.0492492246039624,0.0833581041990502,1.9057526288425133,0.1634311577692734,1.328798426012181,0.1969441858553863,0.6427777777777778,0.0181136293030827,0.1648148148148148,0.0099939968263532,0.4037962962962963,0.0125828870550137,0.1915051915243637,0.0048845629865483
Hard filter,Hard Filter,Hard Filter,5,80.19296029240381,1.081115257458752,60.37037037037037,2.1114359724058143,63.703703703703695,2.631161525626448,27.40740740740741,2.0548463908492725,43.010040171621874,2.4074004968543243,90.76928295684743,0.9796612788763563,-47.75924278522558,2.308422502297504,-0.469427241541809,0.0272669159533267,0.5913216763515499,0.1921799217018968,0.2638775399117732,0.0414531485783603,0.6172222222222222,0.0175389044334097,0.1779629629629629,0.0104633726566789,0.3975925925925925,0.0119494677923856,0.1359763514033991,0.0065174187466075


