method,ad_overcompletion_score_mean_mean,hc_evidence_loss_score_mean_mean,overall_contamination_mean,ExternalCohort_F1_mean,ad_overcompletion_score_mean_sd,hc_evidence_loss_score_mean_sd,overall_contamination_sd,ExternalCohort_F1_sd,method_display
CoDiPO,1.6556401218271808,1.2672600071940152,38.629629629629626,83.01356075339329,0.1728128297076263,0.1730374151775288,1.3825472504991725,0.506004377617046,CoDiPO
w/o X,1.794300512614204,1.327534304478927,39.52777777777778,79.41353352750025,0.1629430853913524,0.3414838152643843,0.6300379939334807,0.4327777370472996,w/o X
w/o Y/Z,1.9559257538749255,1.3697672510310686,40.56481481481482,80.12861267582097,0.2241603947948456,0.3007078069535068,1.3700105884064169,0.8555769796244959,w/o YZ
Cos-X,1.5025471041149518,1.5313295378473095,39.24999999999999,79.58940889911597,0.1791820897109889,0.1647919501333633,1.3566473795658385,0.9125457625049463,Cosine sim. as X
Cosine-only,2.062129695015234,1.104289190320783,41.74074074074074,79.3739617074635,0.1474819017194815,0.2199206973293891,1.0801036060145597,1.531597998209703,Cosine-only
Vanilla,1.9057526288425133,1.328798426012181,40.37962962962963,80.12754040503569,0.1634311577692734,0.1969441858553863,1.2582887055013736,0.8103591746308614,Vanilla
Hard filter,0.5913216763515498,0.2638775399117733,39.75925925925926,80.19296029240381,0.1921799217018968,0.0414531485783603,1.1949467792385664,1.081115257458752,Hard Filter


