method_display,display_method,method_family,cohort,metric,point_percent,ci_low_percent,ci_high_percent,point_role
ICL Imitation,ICL Imitation,LLM generation strategies,External-cohort average,precision,78.78498099096694,75.61812390124982,82.46091994414323,external_cohort_bootstrap_ci
ICL Imitation,ICL Imitation,LLM generation strategies,ADReSS validation,precision,84.5302365323055,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Lu,precision,74.96825467995232,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Pitt,precision,82.60170730198156,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,External-cohort average,precision,84.24105813683032,80.46270223645257,88.33154096508324,external_cohort_bootstrap_ci
Vanilla,Vanilla,LLM generation strategies,ADReSS validation,precision,93.3161012578404,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Lu,precision,80.32098328325836,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Pitt,precision,88.16113299040225,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,External-cohort average,precision,83.89276297999892,80.20790942451013,87.84695747461309,external_cohort_bootstrap_ci
Hard Filter,Hard Filter,Proxy-guided preference and selection,ADReSS validation,precision,91.1892430203217,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Lu,precision,80.37540072961129,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Pitt,precision,87.41012523038656,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,External-cohort average,precision,86.18581354133269,81.97589287035451,90.6092924462534,external_cohort_bootstrap_ci
CoDiPO,CoDiPO,Proxy-guided preference and selection,ADReSS validation,precision,93.89369242673592,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Lu,precision,84.71447848900574,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Pitt,precision,87.65714859365964,,,cohort_mean
BERT,BERT,No augmentation reference,External-cohort average,sensitivity,79.03516962340491,74.02894491129786,83.14511360099596,external_cohort_bootstrap_ci
BERT,BERT,No augmentation reference,ADReSS validation,sensitivity,80.83333333333333,,,cohort_mean
BERT,BERT,No augmentation reference,Lu,sensitivity,91.85185185185183,,,cohort_mean
BERT,BERT,No augmentation reference,Pitt,sensitivity,66.21848739495799,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,External-cohort average,sensitivity,74.92592592592592,68.63044662309368,80.29414877061937,external_cohort_bootstrap_ci
EDA,EDA,Representative non-LLM anchors,ADReSS validation,sensitivity,80.33333333333333,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Lu,sensitivity,83.85185185185186,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Pitt,sensitivity,65.99999999999999,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,External-cohort average,sensitivity,79.38997821350762,74.19378306878308,83.468837535014,external_cohort_bootstrap_ci
CDA,CDA,Representative non-LLM anchors,ADReSS validation,sensitivity,85.0,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Lu,sensitivity,94.07407407407408,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Pitt,sensitivity,64.70588235294117,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,External-cohort average,sensitivity,79.82135076252723,74.61277622159976,84.09874727668843,external_cohort_bootstrap_ci
ICL Direct,ICL Direct,LLM generation strategies,ADReSS validation,sensitivity,91.33333333333331,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Lu,sensitivity,91.4074074074074,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Pitt,sensitivity,68.23529411764706,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,External-cohort average,sensitivity,83.28571428571429,79.54500466853408,86.49579831932772,external_cohort_bootstrap_ci
ICL Rewrite,ICL Rewrite,LLM generation strategies,ADReSS validation,sensitivity,91.5,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Lu,sensitivity,96.0,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Pitt,sensitivity,70.57142857142857,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,External-cohort average,sensitivity,81.44226579520698,76.60089480236537,85.4653361344538,external_cohort_bootstrap_ci
ICL Imitation,ICL Imitation,LLM generation strategies,ADReSS validation,sensitivity,91.33333333333334,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Lu,sensitivity,92.2962962962963,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Pitt,sensitivity,70.58823529411764,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,External-cohort average,sensitivity,78.87114845938375,73.77215219421102,82.79707438530967,external_cohort_bootstrap_ci
Vanilla,Vanilla,LLM generation strategies,ADReSS validation,sensitivity,86.33333333333333,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Lu,sensitivity,94.66666666666664,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Pitt,sensitivity,63.07563025210084,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,External-cohort average,sensitivity,79.15997510115159,74.20252100840332,83.27235449735447,external_cohort_bootstrap_ci
Hard Filter,Hard Filter,Proxy-guided preference and selection,ADReSS validation,sensitivity,87.66666666666666,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Lu,sensitivity,94.37037037037037,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Pitt,sensitivity,63.94957983193278,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,External-cohort average,sensitivity,81.69903516962339,77.28372237784001,85.20153283535635,external_cohort_bootstrap_ci
CoDiPO,CoDiPO,Proxy-guided preference and selection,ADReSS validation,sensitivity,92.0,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Lu,sensitivity,95.85185185185183,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Pitt,sensitivity,67.54621848739497,,,cohort_mean
BERT,BERT,No augmentation reference,External-cohort average,f1,79.54399371889129,75.74092226508463,82.97962780582662,external_cohort_bootstrap_ci
BERT,BERT,No augmentation reference,ADReSS validation,f1,83.85856731741464,,,cohort_mean
BERT,BERT,No augmentation reference,Lu,f1,87.01677613216751,,,cohort_mean
BERT,BERT,No augmentation reference,Pitt,f1,72.07121130561508,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,External-cohort average,f1,76.97887810919474,72.39637513042474,80.9152462676636,external_cohort_bootstrap_ci
EDA,EDA,Representative non-LLM anchors,ADReSS validation,f1,81.50663453483715,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Lu,f1,82.75727207097333,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Pitt,f1,71.20048414741612,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,External-cohort average,f1,80.3183002051044,76.43809809120854,83.87079757660683,external_cohort_bootstrap_ci
CDA,CDA,Representative non-LLM anchors,ADReSS validation,f1,86.3204129878902,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Lu,f1,87.64599594163363,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Pitt,f1,72.99060446857523,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,External-cohort average,f1,78.02725493278888,74.4733384509237,81.29634766874804,external_cohort_bootstrap_ci
ICL Direct,ICL Direct,LLM generation strategies,ADReSS validation,f1,88.94841901433395,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Lu,f1,81.40116680777003,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Pitt,f1,74.65334305780773,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,External-cohort average,f1,78.75027728645915,75.99111218125273,81.35010755860263,external_cohort_bootstrap_ci
ICL Rewrite,ICL Rewrite,LLM generation strategies,ADReSS validation,f1,86.45653513125117,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Lu,f1,81.62795304930708,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Pitt,f1,75.87260152361124,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,External-cohort average,f1,79.12630083387216,75.78856953552943,82.15440735892378,external_cohort_bootstrap_ci
ICL Imitation,ICL Imitation,LLM generation strategies,ADReSS validation,f1,87.60788841005646,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Lu,f1,82.59752166634954,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Pitt,f1,75.65508000139478,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,External-cohort average,f1,80.12754040503569,76.4855909214069,83.41598821047677,external_cohort_bootstrap_ci
Vanilla,Vanilla,LLM generation strategies,ADReSS validation,f1,89.43384293279316,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Lu,f1,86.81370812190622,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Pitt,f1,73.44137268816516,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,External-cohort average,f1,80.19296029240381,76.61677856340646,83.47696727315929,external_cohort_bootstrap_ci
Hard Filter,Hard Filter,Proxy-guided preference and selection,ADReSS validation,f1,89.17225896900212,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Lu,f1,86.72999809512672,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Pitt,f1,73.65592248968092,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,External-cohort average,f1,83.01356075339328,79.57278982392525,86.23018179988652,external_cohort_bootstrap_ci
CoDiPO,CoDiPO,Proxy-guided preference and selection,ADReSS validation,f1,92.79945454744436,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Lu,f1,89.87256266518627,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Pitt,f1,76.15455884160032,,,cohort_mean
BERT,BERT,No augmentation reference,External-cohort average,specificity,70.90909090909092,60.96969696969696,79.99999999999999,external_cohort_bootstrap_ci
BERT,BERT,No augmentation reference,ADReSS validation,specificity,88.33333333333334,,,cohort_mean
BERT,BERT,No augmentation reference,Lu,specificity,65.33333333333333,,,cohort_mean
BERT,BERT,No augmentation reference,Pitt,specificity,76.48484848484848,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,External-cohort average,specificity,70.01212121212122,60.13303030303031,78.83666666666667,external_cohort_bootstrap_ci
EDA,EDA,Representative non-LLM anchors,ADReSS validation,specificity,83.0,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Lu,specificity,66.39999999999999,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Pitt,specificity,73.62424242424242,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,External-cohort average,specificity,72.6060606060606,61.93787878787879,82.60606060606061,external_cohort_bootstrap_ci
CDA,CDA,Representative non-LLM anchors,ADReSS validation,specificity,88.33333333333331,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Lu,specificity,62.66666666666667,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Pitt,specificity,82.54545454545455,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,External-cohort average,specificity,59.696969696969695,50.169393939393935,69.64848484848486,external_cohort_bootstrap_ci
ICL Direct,ICL Direct,LLM generation strategies,ADReSS validation,specificity,86.00000000000001,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Lu,specificity,40.26666666666666,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Pitt,specificity,79.12727272727273,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,External-cohort average,specificity,53.46666666666668,45.98787878787879,61.67272727272726,external_cohort_bootstrap_ci
ICL Rewrite,ICL Rewrite,LLM generation strategies,ADReSS validation,specificity,79.83333333333333,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Lu,specificity,29.066666666666656,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,Pitt,specificity,77.86666666666666,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,External-cohort average,specificity,60.36363636363637,51.79393939393939,69.34575757575756,external_cohort_bootstrap_ci
ICL Imitation,ICL Imitation,LLM generation strategies,ADReSS validation,specificity,82.83333333333334,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Lu,specificity,43.46666666666666,,,cohort_mean
ICL Imitation,ICL Imitation,LLM generation strategies,Pitt,specificity,77.26060606060605,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,External-cohort average,specificity,72.61818181818181,62.98121212121212,81.62454545454547,external_cohort_bootstrap_ci
Vanilla,Vanilla,LLM generation strategies,ADReSS validation,specificity,93.5,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Lu,specificity,57.59999999999999,,,cohort_mean
Vanilla,Vanilla,LLM generation strategies,Pitt,specificity,87.63636363636364,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,External-cohort average,specificity,72.12121212121212,62.909090909090914,80.5939393939394,external_cohort_bootstrap_ci
Hard Filter,Hard Filter,Proxy-guided preference and selection,ADReSS validation,specificity,91.0,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Lu,specificity,57.86666666666667,,,cohort_mean
Hard Filter,Hard Filter,Proxy-guided preference and selection,Pitt,specificity,86.37575757575758,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,External-cohort average,specificity,77.24848484848484,66.89636363636365,86.32757575757577,external_cohort_bootstrap_ci
CoDiPO,CoDiPO,Proxy-guided preference and selection,ADReSS validation,specificity,93.66666666666669,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Lu,specificity,68.53333333333332,,,cohort_mean
CoDiPO,CoDiPO,Proxy-guided preference and selection,Pitt,specificity,85.96363636363635,,,cohort_mean
BERT,BERT,No augmentation reference,External-cohort average,auroc,80.57505022210904,72.5734322685303,87.28932509030548,external_cohort_bootstrap_ci
BERT,BERT,No augmentation reference,ADReSS validation,auroc,90.06944444444444,,,cohort_mean
BERT,BERT,No augmentation reference,Lu,auroc,82.37037037037037,,,cohort_mean
BERT,BERT,No augmentation reference,Pitt,auroc,78.77973007384772,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,External-cohort average,auroc,81.1957634232144,74.68734101047825,86.53673325222346,external_cohort_bootstrap_ci
EDA,EDA,Representative non-LLM anchors,ADReSS validation,auroc,90.27083333333331,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Lu,auroc,84.84938271604939,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Pitt,auroc,77.54214413037943,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,External-cohort average,auroc,84.80863725961767,78.80240193720586,89.69322355204709,external_cohort_bootstrap_ci
