method,method_display,source_label,mean,sd,n_seeds
CoDiPO,CoDiPO,0,0.1,0.0239669983436014,5
CoDiPO,CoDiPO,1,0.0648148148148148,0.0244976973246721,5
EDA,EDA,0,0.0,0.0,5
EDA,EDA,1,0.0,0.0,5
ICL Imitation,ICL Imitation,0,0.0333333333333333,0.010557179862029,5
ICL Imitation,ICL Imitation,1,0.0092592592592592,0.0065472850109865,5
ICL Rewrite,ICL Rewrite,0,0.0407407407407407,0.0140423619334287,5
ICL Rewrite,ICL Rewrite,1,0.0092592592592592,0.0092592592592592,5


