method,method_display,method_raw,n_seeds,proxy_yz_pass_rate_mean,proxy_yz_pass_rate_sd,proxy_x_pass_rate_mean,proxy_x_pass_rate_sd,proxy_joint_pass_rate_mean,proxy_joint_pass_rate_sd,conditional_x_pass_within_yz_pass_mean,conditional_x_pass_within_yz_pass_sd,conditional_x_pass_within_yz_fail_mean,conditional_x_pass_within_yz_fail_sd,ExternalCohort_F1_mean,ExternalCohort_F1_sd
CoDiPO,CoDiPO,CoDiPO,5,18.148148148148145,1.863389981249826,47.03703703703704,1.7810540797843877,8.240740740740739,2.1566323516392814,44.8936877076412,8.237323625622544,47.40235684859323,1.4667761903647552,83.01356075339329,0.5060043776170486
EDA,EDA,EDA,5,29.444444444444446,1.5903300034553405,0.1851851851851851,0.2535752581042435,0.0,0.0,0.0,0.0,0.2684563758389262,0.3675990318826618,76.97887810919474,1.4809602588298254
ICL Rewrite,ICL Rewrite,ICL Rewrite,5,12.685185185185183,1.656346649999845,27.12962962962963,4.423658957626391,2.5,0.5278589931014526,19.66070488651134,2.804381122763927,28.227555726910907,4.80159231275608,78.75027728645917,0.86962903372239
ICL Imitation,ICL Imitation,ICL Imitation,5,18.333333333333336,2.9023014849365696,17.40740740740741,2.1114359724058125,2.1296296296296298,0.2535752581042435,11.725187093608143,1.3984624032592166,18.68261015753026,2.471363381053811,79.12630083387216,0.9582690713599664


