method_raw,method_display,method,dominant_standardized_departure_metric,dominant_departure_domain,dominant_standardized_departure,ExternalCohort_F1_codipo,ExternalCohort_F1_method,delta_ExternalCohort_F1,residual_similarity_mean_codipo,residual_similarity_mean_method,delta_residual_similarity_mean,standardized_delta_residual_similarity_mean,proxy_joint_pass_rate_codipo,proxy_joint_pass_rate_method,delta_proxy_joint_pass_rate,standardized_delta_proxy_joint_pass_rate,conditional_x_pass_within_yz_fail_codipo,conditional_x_pass_within_yz_fail_method,delta_conditional_x_pass_within_yz_fail,standardized_delta_conditional_x_pass_within_yz_fail,yz_x_phi_codipo,yz_x_phi_method,delta_yz_x_phi,standardized_delta_yz_x_phi,ad_overcompletion_score_mean_codipo,ad_overcompletion_score_mean_method,delta_ad_overcompletion_score_mean,standardized_delta_ad_overcompletion_score_mean,hc_evidence_loss_score_mean_codipo,hc_evidence_loss_score_mean_method,delta_hc_evidence_loss_score_mean,standardized_delta_hc_evidence_loss_score_mean,ad_to_hc_contamination_codipo,ad_to_hc_contamination_method,delta_ad_to_hc_contamination,standardized_delta_ad_to_hc_contamination,hc_to_ad_contamination_codipo,hc_to_ad_contamination_method,delta_hc_to_ad_contamination,standardized_delta_hc_to_ad_contamination
w/o X,w/o X,w/o X,AD-to-HC kNN,Representation,1.1409364219824862,83.01356075339329,79.41353352750025,-3.600027225893044,0.1779814374584781,0.1852030698883788,0.0072216324299006,0.4007499899970004,8.240740740740739,7.962962962962962,-0.2777777777777768,-0.0387142981872826,47.40235684859323,44.04747723371892,-3.3548796148743136,-0.2161627887668934,-0.017951363879217,0.0029187120113345,0.0208700758905515,0.1373347847874282,1.6556401218271808,1.794300512614204,0.1386603907870232,0.3004153698843435,1.2672600071940152,1.327534304478927,0.0602742972849117,0.1552337608127303,0.6127777777777779,0.6324074074074074,0.0196296296296295,1.1409364219824862,0.1598148148148148,0.1581481481481481,-0.0016666666666666,-0.2573852414281093
w/o Y/Z,w/o YZ,w/o YZ,AD-to-HC kNN,Representation,1.862094349084621,83.01356075339329,80.12861267582097,-2.884948077572318,0.1779814374584781,0.1638044127730476,-0.0141770246854304,-0.786725516151976,8.240740740740739,5.925925925925926,-2.314814814814813,-0.3226191515606874,47.40235684859323,52.18086024499828,4.77850339640505,0.3078902192851655,-0.017951363879217,-0.0862248508004181,-0.0682734869212011,-0.4492712284412612,1.6556401218271808,1.9559257538749255,0.3002856320477449,0.6505853525332751,1.2672600071940152,1.3697672510310688,0.1025072438370535,0.2640028285382715,0.6127777777777779,0.6448148148148147,0.0320370370370368,1.862094349084621,0.1598148148148148,0.1664814814814814,0.0066666666666666,1.0295409657124457
Cos-X,Cosine sim. as X,Cosine sim. as X,AD-to-HC kNN,Representation,0.7965027851575854,83.01356075339329,79.58940889911597,-3.4241518542773264,0.1779814374584781,0.1774780345710996,-0.0005034028873785,-0.0279353323558972,8.240740740740739,7.685185185185185,-0.5555555555555536,-0.0774285963745649,47.40235684859323,48.91494885588999,1.5125920072967602,0.0974598626770779,-0.017951363879217,-0.0419728986312512,-0.0240215347520342,-0.1580728466314726,1.6556401218271808,1.5025471041149518,-0.1530930177122289,-0.3316844506328466,1.2672600071940152,1.53132953784731,0.2640695306532947,0.6800992828766663,0.6127777777777779,0.6264814814814815,0.0137037037037036,0.7965027851575854,0.1598148148148148,0.1585185185185185,-0.0012962962962962,-0.2001885211107535
Cosine-only,Cosine-only,Cosine-only,AD-to-HC kNN,Representation,3.1537204871780147,83.01356075339329,79.3739617074635,-3.639599045929799,0.1779814374584781,0.1903117353750682,0.0123302979165901,0.6842451225119293,8.240740740740739,6.111111111111112,-2.129629629629627,-0.2968096194358324,47.40235684859323,45.92323124951021,-1.4791255990830194,-0.0953035432379491,-0.017951363879217,-0.0578574678123642,-0.0399061039331471,-0.2626006835866216,1.6556401218271808,2.062129695015233,0.4064895731880527,0.8806820375328579,1.2672600071940152,1.1042891903207828,-0.1629708168732324,-0.4197240605953528,0.6127777777777779,0.667037037037037,0.0542592592592591,3.1537204871780147,0.1598148148148148,0.1677777777777778,0.007962962962963,1.2297294868232036
Vanilla,Vanilla,Vanilla,AD-to-HC kNN,Representation,1.7436952864260655,83.01356075339329,80.12754040503569,-2.8860203483576043,0.1779814374584781,0.1915051915243637,0.0135237540658855,0.7504735749476584,8.240740740740739,6.388888888888889,-1.8518518518518492,-0.2580953212485499,47.40235684859323,43.97843122874563,-3.4239256198476014,-0.2206115853562154,-0.017951363879217,-0.0492492246039624,-0.0312978607247454,-0.2059544483441845,1.6556401218271808,1.9057526288425133,0.2501125070153325,0.5418825151237312,1.2672600071940152,1.328798426012181,0.0615384188181657,0.1584894493660749,0.6127777777777779,0.6427777777777778,0.0299999999999999,1.7436952864260655,0.1598148148148148,0.1648148148148148,0.005,0.7721557242843364
Hard filter,Hard Filter,Hard Filter,Y/Z-X phi,Proxy selection,-2.9709207968706006,83.01356075339329,80.19296029240381,-2.820600460989482,0.1779814374584781,0.1359763514033991,-0.042005086055079,-2.3309879005608054,8.240740740740739,27.40740740740741,19.16666666666667,2.671286574922492,47.40235684859323,90.76928295684743,43.36692610825422,2.794233106382034,-0.017951363879217,-0.469427241541809,-0.4514758776625919,-2.9709207968706006,1.6556401218271808,0.5913216763515499,-1.064318445475631,-2.305904502774663,1.2672600071940152,0.2638775399117732,-1.003382467282242,-2.5841667335169296,0.6127777777777779,0.6172222222222222,0.0044444444444443,0.258325227618666,0.1598148148148148,0.1779629629629629,0.0181481481481481,2.80263929555055


