method,method_display,method_raw,n_seeds,proxy_yz_pass_rate_mean,proxy_yz_pass_rate_sd,proxy_x_pass_rate_mean,proxy_x_pass_rate_sd,proxy_joint_pass_rate_mean,proxy_joint_pass_rate_sd,conditional_x_pass_within_yz_pass_mean,conditional_x_pass_within_yz_pass_sd,conditional_x_pass_within_yz_fail_mean,conditional_x_pass_within_yz_fail_sd,ExternalCohort_F1_mean,ExternalCohort_F1_sd
CoDiPO,CoDiPO,CoDiPO,5,18.148148148148145,1.863389981249826,47.03703703703704,1.7810540797843877,8.240740740740739,2.1566323516392814,44.8936877076412,8.237323625622544,47.40235684859323,1.4667761903647552,83.01356075339329,0.5060043776170486
Vanilla,Vanilla,Vanilla,5,17.037037037037035,1.834408588533237,42.87037037037038,1.373370090202897,6.388888888888889,1.804961915705364,37.51203422680503,9.736562340766254,43.97843122874563,1.5846969170798064,80.12754040503569,0.8103591746308642
Hard Filter,Hard Filter,Hard filter,5,63.703703703703695,2.631161525626448,60.37037037037037,2.1114359724058143,27.40740740740741,2.0548463908492725,43.010040171621874,2.4074004968543243,90.76928295684743,0.9796612788763563,80.19296029240381,1.081115257458752
w/o X,w/o X,w/o X,5,17.77777777777778,2.750639032872768,44.16666666666667,5.750812550687188,7.962962962962962,2.9170340744487717,44.34141161300111,12.240360888718891,44.04747723371892,4.921174455706223,79.41353352750025,0.4327777370472982
w/o YZ,w/o YZ,w/o Y/Z,5,14.62962962962963,3.011039359538722,50.46296296296297,3.386282138501807,5.925925925925926,2.2538261934514967,39.54580745341615,8.29423416373285,52.18086024499828,3.847967436045248,80.12861267582097,0.8555769796244937
Cosine sim. as X,Cosine sim. as X,Cos-X,5,17.40740740740741,4.04397551887453,48.05555555555556,2.5017140900196844,7.685185185185185,2.8651386012529265,42.9208839091192,7.968767943870919,48.91494885588999,2.089128440597036,79.58940889911597,0.9125457625049476
Cosine-only,Cosine-only,Cosine-only,5,16.111111111111107,3.214176844020331,44.62962962962963,0.9600204330244324,6.111111111111112,1.3655445559030204,38.21135421135421,6.329925712404452,45.92323124951021,1.558861691893937,79.3739617074635,1.5315979982097023


