method,method_display,run_idx,aug_seed,random_seed,num_aug_from_file,k_inferred,align_label_acc,n_samples,n_sources,yz_pass_rate,x_pass_rate,joint_pass_rate,yz_fail_rate,x_fail_rate,risk_direction_violation_rate,y_bad_rate,z_bad_rate,y_bad_low_rate,y_bad_high_rate,z_bad_low_rate,z_bad_high_rate,yz_violation_mean,yz_violation_median,x_violation_mean,x_violation_median,residual_cos_mean,residual_cos_median,origin_cos_mean,origin_cos_median,delta_y_mean,delta_y_median,delta_z_mean,delta_z_median,yz_utilization_mean,yz_utilization_median
ICL Imitate,ICL Imitation,2.0,3012,3012,2,2,1.0,216,108,0.1805555555555555,0.1851851851851851,0.0231481481481481,0.8194444444444444,0.8148148148148148,,0.5324074074074074,0.5972222222222222,0.2361111111111111,0.2962962962962963,0.1666666666666666,0.4305555555555556,1.9434579069542028,1.266220546900395,1.649855367691178,1.3714545722351836,0.3731434333375429,0.361792980138188,0.9379381682040884,0.9463470617005812,0.0184132996632996,0.0227272727272727,0.0018517584173457,0.0015292367897926,0.7689084155355324,0.8109756214266526
ICL Imitate,ICL Imitation,4.0,2921,2921,2,2,1.0,216,108,0.2314814814814814,0.1481481481481481,0.0231481481481481,0.7685185185185185,0.8518518518518519,,0.5231481481481481,0.6018518518518519,0.1805555555555555,0.3425925925925926,0.1898148148148148,0.412037037037037,2.058345798855722,1.4796591151855676,1.7554370481086312,1.53931324456026,0.3927572022292538,0.3894660038457517,0.9401976300138352,0.9445496558919064,0.0502946127946127,0.0568181818181817,0.0023337213701947,0.00161839928478,0.7596237347810744,0.81642329392082
ICL Imitate,ICL Imitation,5.0,9032,9032,2,2,1.0,216,108,0.1527777777777778,0.1666666666666666,0.0185185185185185,0.8472222222222222,0.8333333333333334,,0.5648148148148148,0.5925925925925926,0.2222222222222222,0.3425925925925926,0.162037037037037,0.4305555555555556,1.6862015824635188,1.1458255662831758,1.566095075684313,1.27108807053103,0.3654101098457341,0.3474190658692201,0.9390019390878416,0.94441071031385,0.0376683501683501,0.0227272727272728,0.0019697505954859,0.0018827589228749,0.7669574317318802,0.7969450253527887
ICL Imitate,ICL Imitation,3.0,4951,4951,2,2,1.0,216,108,0.1759259259259259,0.1666666666666666,0.0231481481481481,0.8240740740740741,0.8333333333333334,,0.5416666666666666,0.6296296296296297,0.2083333333333333,0.3333333333333333,0.1944444444444444,0.4351851851851852,2.0879252737964014,1.4362426025077368,1.665430131456701,1.3707905820774442,0.3743427410095376,0.3694856170980923,0.9394124393213836,0.9458936697147092,0.0456649831649831,0.0454545454545454,0.0022716547353882,0.0019953371956943,0.7988951606373741,0.8613343354338903
ICL Direct,ICL Direct,5.0,9032,9032,2,2,1.0,216,108,0.0972222222222222,0.8888888888888888,0.0833333333333333,0.9027777777777778,0.1111111111111111,,0.5972222222222222,0.7731481481481481,0.1203703703703703,0.4768518518518518,0.0833333333333333,0.6898148148148148,3.3995956202160187,2.640165373944348,0.0393768629135142,0.0,-0.0067052344846978,-0.0048498912351237,0.8771701916327886,0.882683991579163,0.1509890572390572,0.1363636363636363,0.0063090912687281,0.0059600300155579,0.8388353299878949,0.981779113911854
ICL Direct,ICL Direct,4.0,2921,2921,2,2,1.0,216,108,0.1018518518518518,0.8981481481481481,0.074074074074074,0.8981481481481481,0.1018518518518518,,0.6018518518518519,0.7685185185185185,0.1435185185185185,0.4583333333333333,0.1712962962962963,0.5972222222222222,3.3890943170357737,2.610433334882676,0.0470148093658781,0.0,-0.009983684263627,-0.0052552885461328,0.8763905999758518,0.8801574867331896,0.1281565656565656,0.1136363636363636,0.0047980996874954,0.0044707404449581,0.8413505651358919,0.9817791139118536
ICL Direct,ICL Direct,3.0,4951,4951,2,2,1.0,216,108,0.0879629629629629,0.8379629629629629,0.0694444444444444,0.9120370370370372,0.162037037037037,,0.6203703703703703,0.7731481481481481,0.1712962962962963,0.449074074074074,0.1527777777777778,0.6203703703703703,3.457657059210436,2.954736605538435,0.0653511663261121,0.0,0.01746564220796,0.0185184410707636,0.8787113846263579,0.8815102954899272,0.1214225589225589,0.1363636363636364,0.0050962013106241,0.0044819200411438,0.84924411162712,0.978507088984786
ICL Direct,ICL Direct,2.0,3012,3012,2,2,1.0,216,108,0.0555555555555555,0.8657407407407407,0.0324074074074074,0.9444444444444444,0.1342592592592592,,0.6342592592592593,0.7962962962962963,0.1574074074074074,0.4768518518518518,0.0972222222222222,0.6990740740740741,3.199354466533921,2.6100479687817386,0.0651034469185341,0.0,0.0086611948457143,0.0077548699063463,0.8812010156749623,0.8845387275051226,0.1425715488215488,0.159090909090909,0.00579527841398,0.0058620227500796,0.8500739314235669,0.981779113911854
ICL Direct,ICL Direct,1.0,5942,5942,2,2,1.0,216,108,0.0879629629629629,0.8611111111111112,0.0833333333333333,0.9120370370370372,0.1388888888888889,,0.625,0.7546296296296297,0.1574074074074074,0.4675925925925926,0.1157407407407407,0.6388888888888888,3.3061640777885,2.514483400867339,0.0685111492277018,0.0,0.0001856410878947,-0.0035408627905244,0.8789752068829549,0.8811913088485088,0.1444654882154881,0.1363636363636363,0.0055196564817042,0.0052254991605878,0.8425096210531285,0.951788971175184
XYZ Hard Filtering w/o DPO,Hard Filter,2.0,5852,5852,2,2,1.0,216,108,0.6064814814814815,0.6111111111111112,0.25,0.3935185185185185,0.3888888888888889,,0.1898148148148148,0.3101851851851852,0.0972222222222222,0.0925925925925925,0.0787037037037037,0.2314814814814814,0.5888761091658955,0.0,0.3918680937566117,0.0,0.127729524654304,0.1000498691180709,0.9053023022813388,0.9107840555764852,-0.0061026936026936,-0.0227272727272727,0.0011039915240231,0.0008325204253197,0.6006824514314704,0.5863161819498681
XYZ Hard Filtering w/o DPO,Hard Filter,3.0,8526,8526,2,2,1.0,216,108,0.6296296296296297,0.6111111111111112,0.2731481481481481,0.3703703703703703,0.3888888888888889,,0.2592592592592592,0.2638888888888889,0.1018518518518518,0.1574074074074074,0.074074074074074,0.1898148148148148,0.7540496202595961,0.0,0.4163936130861096,0.0,0.1345612631962065,0.1161359414137885,0.9058903200009332,0.913163443915466,0.0140993265993265,0.0113636363636362,0.0009756996436475,0.0008479421958327,0.6387430474873339,0.6398100297221223
XYZ Hard Filtering w/o DPO,Hard Filter,4.0,2845,2845,2,2,1.0,216,108,0.6481481481481481,0.5740740740740741,0.2592592592592592,0.3518518518518518,0.4259259259259259,,0.1574074074074074,0.2962962962962963,0.0694444444444444,0.0879629629629629,0.0694444444444444,0.2268518518518518,0.6810974766658915,0.0,0.4687080055583411,0.0,0.1448197289641321,0.1213159752083383,0.9079865174662384,0.9110310233983264,0.0078914141414141,0.0,0.001303463484402,0.001196913421154,0.6075809407831301,0.5975066494864538
XYZ Hard Filtering w/o DPO,Hard Filter,0.0,2024,2024,2,2,1.0,216,108,0.625,0.6296296296296297,0.287037037037037,0.375,0.3703703703703703,,0.2453703703703703,0.2407407407407407,0.1111111111111111,0.1342592592592592,0.0555555555555555,0.1851851851851851,0.4993502452700712,0.0,0.4704039447472636,0.0,0.1331180495973337,0.1028875257815953,0.9062837558629098,0.915067024780519,-0.0140993265993266,-0.0454545454545453,0.0007553191605472,0.0009310143068432,0.6309755679530609,0.6279144000150966
XYZ Hard Filtering w/o DPO,Hard Filter,1.0,2947,2947,2,2,1.0,216,108,0.6759259259259259,0.5925925925925926,0.3009259259259259,0.324074074074074,0.4074074074074074,,0.1527777777777778,0.2592592592592592,0.0648148148148148,0.0879629629629629,0.0648148148148148,0.1944444444444444,0.5140614810198468,0.0,0.4791706718982895,0.0,0.139653190605019,0.1067421319797711,0.9068688657886512,0.9120610249513496,-0.0068392255892255,-0.0227272727272727,0.0010543057363031,0.0008040340617299,0.5881921839968669,0.5814502247354301


